"taxa1","taxa2","value"
"OTU_97.43637","OTU_97.12419",0.980257116620753
"OTU_97.43637","OTU_97.18018",0.966329966329966
"OTU_97.32588","OTU_97.37599",0.957759412304867
"OTU_97.86","OTU_97.16034",0.956649831649832
"OTU_97.32588","OTU_97.37902",0.956228956228956
"OTU_97.43637","OTU_97.951",0.953359351086624
"OTU_97.1201","OTU_97.5474",0.952134986225895
"OTU_97.15133","OTU_97.43023",0.950374961738598
"OTU_97.34780","OTU_97.14",0.950298438934803
"OTU_97.951","OTU_97.12419",0.950260177532905
"OTU_97.29794","OTU_97.43210",0.947314049586777
"OTU_97.33687","OTU_97.37902",0.946127946127946
"OTU_97.13028","OTU_97.34703",0.945783593510866
"OTU_97.36155","OTU_97.13004",0.941727884909703
"OTU_97.86","OTU_97.13936",0.937442607897153
"OTU_97.29574","OTU_97.14",0.93595041322314
"OTU_97.5474","OTU_97.510",0.93407560453015
"OTU_97.12279","OTU_97.13004",0.931818181818182
"OTU_97.9316","OTU_97.951",0.931244260789715
"OTU_97.37902","OTU_97.39144",0.928030303030303
"OTU_97.39459","OTU_97.10938",0.928030303030303
"OTU_97.14","OTU_97.1201",0.928030303030303
"OTU_97.5561","OTU_97.57",0.927647689011325
"OTU_97.41577","OTU_97.13004",0.925543311906948
"OTU_97.37599","OTU_97.37902",0.924242424242424
"OTU_97.951","OTU_97.15133",0.921908478726661
"OTU_97.23396","OTU_97.118",0.919230180593817
"OTU_97.33687","OTU_97.37599",0.917929292929293
"OTU_97.29803","OTU_97.39459",0.917546678910315
"OTU_97.11659","OTU_97.121",0.916245791245791
"OTU_97.34925","OTU_97.20215",0.915442301805938
"OTU_97.16695","OTU_97.7657",0.91456228956229
"OTU_97.401","OTU_97.158",0.914179675543312
"OTU_97.43637","OTU_97.15133",0.914103152739516
"OTU_97.24475","OTU_97.10938",0.912878787878788
"OTU_97.14","OTU_97.5474",0.912878787878788
"OTU_97.24927","OTU_97.7657",0.911998775635139
"OTU_97.7657","OTU_97.10938",0.911577900214264
"OTU_97.24475","OTU_97.35852",0.91131007040098
"OTU_97.12419","OTU_97.43023",0.911157024793388
"OTU_97.24475","OTU_97.39459",0.910850933578206
"OTU_97.43210","OTU_97.22942",0.910850933578206
"OTU_97.18018","OTU_97.43023",0.910736149372513
"OTU_97.16695","OTU_97.7287",0.910430058157331
"OTU_97.37599","OTU_97.39144",0.910391796755433
"OTU_97.10089","OTU_97.57",0.910353535353535
"OTU_97.28399","OTU_97.7657",0.910353535353535
"OTU_97.7657","OTU_97.34683",0.910353535353535
"OTU_97.7657","OTU_97.24475",0.910353535353535
"OTU_97.38931","OTU_97.39459",0.910353535353535
"OTU_97.9982","OTU_97.14",0.910353535353535
"OTU_97.12279","OTU_97.16529",0.910353535353535
"OTU_97.7657","OTU_97.5474",0.910009182736455
"OTU_97.24025","OTU_97.154",0.90993265993266
"OTU_97.24475","OTU_97.1201",0.90993265993266
"OTU_97.9316","OTU_97.43023",0.90993265993266
"OTU_97.1201","OTU_97.10385",0.909894398530762
"OTU_97.734","OTU_97.5474",0.909703091521273
"OTU_97.7657","OTU_97.24636",0.909511784511784
"OTU_97.7657","OTU_97.35176",0.909511784511784
"OTU_97.35852","OTU_97.5474",0.909511784511784
"OTU_97.10938","OTU_97.510",0.909511784511784
"OTU_97.1201","OTU_97.38818",0.909511784511784
"OTU_97.510","OTU_97.38818",0.909511784511784
"OTU_97.510","OTU_97.10385",0.909511784511784
"OTU_97.30556","OTU_97.22942",0.909511784511784
"OTU_97.951","OTU_97.43023",0.909511784511784
"OTU_97.34780","OTU_97.39171",0.909473523109887
"OTU_97.35852","OTU_97.10385",0.909473523109887
"OTU_97.7657","OTU_97.510",0.909320477502296
"OTU_97.57","OTU_97.2918",0.909129170492807
"OTU_97.24927","OTU_97.35852",0.909129170492807
"OTU_97.7657","OTU_97.10385",0.909129170492807
"OTU_97.2487","OTU_97.37599",0.909090909090909
"OTU_97.15869","OTU_97.37599",0.909090909090909
"OTU_97.67","OTU_97.37599",0.909090909090909
"OTU_97.2487","OTU_97.37902",0.909090909090909
"OTU_97.15869","OTU_97.37902",0.909090909090909
"OTU_97.67","OTU_97.37902",0.909090909090909
"OTU_97.1656","OTU_97.37902",0.909090909090909
"OTU_97.266","OTU_97.15337",0.909090909090909
"OTU_97.266","OTU_97.155",0.909090909090909
"OTU_97.15337","OTU_97.155",0.909090909090909
"OTU_97.43194","OTU_97.37636",0.909090909090909
"OTU_97.37903","OTU_97.23922",0.909090909090909
"OTU_97.37903","OTU_97.15271",0.909090909090909
"OTU_97.37903","OTU_97.10619",0.909090909090909
"OTU_97.37903","OTU_97.27041",0.909090909090909
"OTU_97.37903","OTU_97.38273",0.909090909090909
"OTU_97.10619","OTU_97.38273",0.909090909090909
"OTU_97.37903","OTU_97.35521",0.909090909090909
"OTU_97.37903","OTU_97.5287",0.909090909090909
"OTU_97.37903","OTU_97.5561",0.909090909090909
"OTU_97.37903","OTU_97.57",0.909090909090909
"OTU_97.23922","OTU_97.57",0.909090909090909
"OTU_97.15271","OTU_97.57",0.909090909090909
"OTU_97.10619","OTU_97.57",0.909090909090909
"OTU_97.27041","OTU_97.57",0.909090909090909
"OTU_97.38273","OTU_97.57",0.909090909090909
"OTU_97.35521","OTU_97.57",0.909090909090909
"OTU_97.5287","OTU_97.57",0.909090909090909
"OTU_97.37903","OTU_97.4859",0.909090909090909
"OTU_97.57","OTU_97.4859",0.909090909090909
"OTU_97.24168","OTU_97.1681",0.909090909090909
"OTU_97.144","OTU_97.15190",0.909090909090909
"OTU_97.144","OTU_97.184",0.909090909090909
"OTU_97.15190","OTU_97.184",0.909090909090909
"OTU_97.37903","OTU_97.2918",0.909090909090909
"OTU_97.16695","OTU_97.28399",0.909090909090909
"OTU_97.16695","OTU_97.24927",0.909090909090909
"OTU_97.28399","OTU_97.24927",0.909090909090909
"OTU_97.38958","OTU_97.34",0.909090909090909
"OTU_97.16695","OTU_97.2297",0.909090909090909
"OTU_97.28399","OTU_97.2297",0.909090909090909
"OTU_97.24927","OTU_97.2297",0.909090909090909
"OTU_97.7657","OTU_97.2297",0.909090909090909
"OTU_97.7475","OTU_97.2297",0.909090909090909
"OTU_97.34","OTU_97.2297",0.909090909090909
"OTU_97.28399","OTU_97.7287",0.909090909090909
"OTU_97.24927","OTU_97.7287",0.909090909090909
"OTU_97.2297","OTU_97.7287",0.909090909090909
"OTU_97.16695","OTU_97.34683",0.909090909090909
"OTU_97.28399","OTU_97.34683",0.909090909090909
"OTU_97.24927","OTU_97.34683",0.909090909090909
"OTU_97.7475","OTU_97.34683",0.909090909090909
"OTU_97.2297","OTU_97.34683",0.909090909090909
"OTU_97.7287","OTU_97.34683",0.909090909090909
"OTU_97.28399","OTU_97.24636",0.909090909090909
"OTU_97.24927","OTU_97.24636",0.909090909090909
"OTU_97.2297","OTU_97.24636",0.909090909090909
"OTU_97.7287","OTU_97.24636",0.909090909090909
"OTU_97.34683","OTU_97.24636",0.909090909090909
"OTU_97.28399","OTU_97.37987",0.909090909090909
"OTU_97.2297","OTU_97.37987",0.909090909090909
"OTU_97.34683","OTU_97.37987",0.909090909090909
"OTU_97.28399","OTU_97.29561",0.909090909090909
"OTU_97.2297","OTU_97.29561",0.909090909090909
"OTU_97.34683","OTU_97.29561",0.909090909090909
"OTU_97.34683","OTU_97.14746",0.909090909090909
"OTU_97.28399","OTU_97.24475",0.909090909090909
"OTU_97.24927","OTU_97.24475",0.909090909090909
"OTU_97.2297","OTU_97.24475",0.909090909090909
"OTU_97.7287","OTU_97.24475",0.909090909090909
"OTU_97.34683","OTU_97.24475",0.909090909090909
"OTU_97.24636","OTU_97.24475",0.909090909090909
"OTU_97.37987","OTU_97.24475",0.909090909090909
"OTU_97.29561","OTU_97.24475",0.909090909090909
"OTU_97.14746","OTU_97.24475",0.909090909090909
"OTU_97.28399","OTU_97.24870",0.909090909090909
"OTU_97.2297","OTU_97.24870",0.909090909090909
"OTU_97.34683","OTU_97.24870",0.909090909090909
"OTU_97.24475","OTU_97.24870",0.909090909090909
"OTU_97.28399","OTU_97.25475",0.909090909090909
"OTU_97.24927","OTU_97.25475",0.909090909090909
"OTU_97.7657","OTU_97.25475",0.909090909090909
"OTU_97.2297","OTU_97.25475",0.909090909090909
"OTU_97.7287","OTU_97.25475",0.909090909090909
"OTU_97.34683","OTU_97.25475",0.909090909090909
"OTU_97.24636","OTU_97.25475",0.909090909090909
"OTU_97.37987","OTU_97.25475",0.909090909090909
"OTU_97.29561","OTU_97.25475",0.909090909090909
"OTU_97.33056","OTU_97.25475",0.909090909090909
"OTU_97.14746","OTU_97.25475",0.909090909090909
"OTU_97.24475","OTU_97.25475",0.909090909090909
"OTU_97.24870","OTU_97.25475",0.909090909090909
"OTU_97.28399","OTU_97.29803",0.909090909090909
"OTU_97.24927","OTU_97.29803",0.909090909090909
"OTU_97.7657","OTU_97.29803",0.909090909090909
"OTU_97.2297","OTU_97.29803",0.909090909090909
"OTU_97.7287","OTU_97.29803",0.909090909090909
"OTU_97.34683","OTU_97.29803",0.909090909090909
"OTU_97.24636","OTU_97.29803",0.909090909090909
"OTU_97.37987","OTU_97.29803",0.909090909090909
"OTU_97.29561","OTU_97.29803",0.909090909090909
"OTU_97.33056","OTU_97.29803",0.909090909090909
"OTU_97.14746","OTU_97.29803",0.909090909090909
"OTU_97.24475","OTU_97.29803",0.909090909090909
"OTU_97.24870","OTU_97.29803",0.909090909090909
"OTU_97.25475","OTU_97.29803",0.909090909090909
"OTU_97.2297","OTU_97.34780",0.909090909090909
"OTU_97.34683","OTU_97.34780",0.909090909090909
"OTU_97.25475","OTU_97.34780",0.909090909090909
"OTU_97.29803","OTU_97.34780",0.909090909090909
"OTU_97.16695","OTU_97.34925",0.909090909090909
"OTU_97.28399","OTU_97.34925",0.909090909090909
"OTU_97.24927","OTU_97.34925",0.909090909090909
"OTU_97.7657","OTU_97.34925",0.909090909090909
"OTU_97.7475","OTU_97.34925",0.909090909090909
"OTU_97.2297","OTU_97.34925",0.909090909090909
"OTU_97.7287","OTU_97.34925",0.909090909090909
"OTU_97.34683","OTU_97.34925",0.909090909090909
"OTU_97.24636","OTU_97.34925",0.909090909090909
"OTU_97.37987","OTU_97.34925",0.909090909090909
"OTU_97.29561","OTU_97.34925",0.909090909090909
"OTU_97.14746","OTU_97.34925",0.909090909090909
"OTU_97.24475","OTU_97.34925",0.909090909090909
"OTU_97.24870","OTU_97.34925",0.909090909090909
"OTU_97.25475","OTU_97.34925",0.909090909090909
"OTU_97.29803","OTU_97.34925",0.909090909090909
"OTU_97.34780","OTU_97.34925",0.909090909090909
"OTU_97.28399","OTU_97.35176",0.909090909090909
"OTU_97.24927","OTU_97.35176",0.909090909090909
"OTU_97.2297","OTU_97.35176",0.909090909090909
"OTU_97.7287","OTU_97.35176",0.909090909090909
"OTU_97.34683","OTU_97.35176",0.909090909090909
"OTU_97.24636","OTU_97.35176",0.909090909090909
"OTU_97.37987","OTU_97.35176",0.909090909090909
"OTU_97.29561","OTU_97.35176",0.909090909090909
"OTU_97.14746","OTU_97.35176",0.909090909090909
"OTU_97.24475","OTU_97.35176",0.909090909090909
"OTU_97.24870","OTU_97.35176",0.909090909090909
"OTU_97.25475","OTU_97.35176",0.909090909090909
"OTU_97.29803","OTU_97.35176",0.909090909090909
"OTU_97.34780","OTU_97.35176",0.909090909090909
"OTU_97.34925","OTU_97.35176",0.909090909090909
"OTU_97.28399","OTU_97.35852",0.909090909090909
"OTU_97.2297","OTU_97.35852",0.909090909090909
"OTU_97.34683","OTU_97.35852",0.909090909090909
"OTU_97.24636","OTU_97.35852",0.909090909090909
"OTU_97.25475","OTU_97.35852",0.909090909090909
"OTU_97.29803","OTU_97.35852",0.909090909090909
"OTU_97.34925","OTU_97.35852",0.909090909090909
"OTU_97.35176","OTU_97.35852",0.909090909090909
"OTU_97.2297","OTU_97.38720",0.909090909090909
"OTU_97.25475","OTU_97.38720",0.909090909090909
"OTU_97.29803","OTU_97.38720",0.909090909090909
"OTU_97.16695","OTU_97.38931",0.909090909090909
"OTU_97.28399","OTU_97.38931",0.909090909090909
"OTU_97.24927","OTU_97.38931",0.909090909090909
"OTU_97.7657","OTU_97.38931",0.909090909090909
"OTU_97.7475","OTU_97.38931",0.909090909090909
"OTU_97.2297","OTU_97.38931",0.909090909090909
"OTU_97.7287","OTU_97.38931",0.909090909090909
"OTU_97.34683","OTU_97.38931",0.909090909090909
"OTU_97.24636","OTU_97.38931",0.909090909090909
"OTU_97.37987","OTU_97.38931",0.909090909090909
"OTU_97.29561","OTU_97.38931",0.909090909090909
"OTU_97.33056","OTU_97.38931",0.909090909090909
"OTU_97.14746","OTU_97.38931",0.909090909090909
"OTU_97.741","OTU_97.38931",0.909090909090909
"OTU_97.24475","OTU_97.38931",0.909090909090909
"OTU_97.24870","OTU_97.38931",0.909090909090909
"OTU_97.25475","OTU_97.38931",0.909090909090909
"OTU_97.29803","OTU_97.38931",0.909090909090909
"OTU_97.34780","OTU_97.38931",0.909090909090909
"OTU_97.34925","OTU_97.38931",0.909090909090909
"OTU_97.35176","OTU_97.38931",0.909090909090909
"OTU_97.35852","OTU_97.38931",0.909090909090909
"OTU_97.38720","OTU_97.38931",0.909090909090909
"OTU_97.16695","OTU_97.39171",0.909090909090909
"OTU_97.28399","OTU_97.39171",0.909090909090909
"OTU_97.24927","OTU_97.39171",0.909090909090909
"OTU_97.7657","OTU_97.39171",0.909090909090909
"OTU_97.2297","OTU_97.39171",0.909090909090909
"OTU_97.7287","OTU_97.39171",0.909090909090909
"OTU_97.34683","OTU_97.39171",0.909090909090909
"OTU_97.24636","OTU_97.39171",0.909090909090909
"OTU_97.37987","OTU_97.39171",0.909090909090909
"OTU_97.29561","OTU_97.39171",0.909090909090909
"OTU_97.35237","OTU_97.39171",0.909090909090909
"OTU_97.14746","OTU_97.39171",0.909090909090909
"OTU_97.24475","OTU_97.39171",0.909090909090909
"OTU_97.24870","OTU_97.39171",0.909090909090909
"OTU_97.25475","OTU_97.39171",0.909090909090909
"OTU_97.29803","OTU_97.39171",0.909090909090909
"OTU_97.34925","OTU_97.39171",0.909090909090909
"OTU_97.35176","OTU_97.39171",0.909090909090909
"OTU_97.35852","OTU_97.39171",0.909090909090909
"OTU_97.38720","OTU_97.39171",0.909090909090909
"OTU_97.38931","OTU_97.39171",0.909090909090909
"OTU_97.28399","OTU_97.39459",0.909090909090909
"OTU_97.24927","OTU_97.39459",0.909090909090909
"OTU_97.2297","OTU_97.39459",0.909090909090909
"OTU_97.34683","OTU_97.39459",0.909090909090909
"OTU_97.24636","OTU_97.39459",0.909090909090909
"OTU_97.25475","OTU_97.39459",0.909090909090909
"OTU_97.34925","OTU_97.39459",0.909090909090909
"OTU_97.35176","OTU_97.39459",0.909090909090909
"OTU_97.39171","OTU_97.39459",0.909090909090909
"OTU_97.28399","OTU_97.734",0.909090909090909
"OTU_97.2297","OTU_97.734",0.909090909090909
"OTU_97.34683","OTU_97.734",0.909090909090909
"OTU_97.24475","OTU_97.734",0.909090909090909
"OTU_97.25475","OTU_97.734",0.909090909090909
"OTU_97.29803","OTU_97.734",0.909090909090909
"OTU_97.34925","OTU_97.734",0.909090909090909
"OTU_97.35176","OTU_97.734",0.909090909090909
"OTU_97.38931","OTU_97.734",0.909090909090909
"OTU_97.39171","OTU_97.734",0.909090909090909
"OTU_97.38931","OTU_97.9982",0.909090909090909
"OTU_97.39171","OTU_97.9982",0.909090909090909
"OTU_97.16695","OTU_97.14",0.909090909090909
"OTU_97.28399","OTU_97.14",0.909090909090909
"OTU_97.24927","OTU_97.14",0.909090909090909
"OTU_97.7657","OTU_97.14",0.909090909090909
"OTU_97.2297","OTU_97.14",0.909090909090909
"OTU_97.7287","OTU_97.14",0.909090909090909
"OTU_97.34683","OTU_97.14",0.909090909090909
"OTU_97.24636","OTU_97.14",0.909090909090909
"OTU_97.37987","OTU_97.14",0.909090909090909
"OTU_97.29561","OTU_97.14",0.909090909090909
"OTU_97.35237","OTU_97.14",0.909090909090909
"OTU_97.14746","OTU_97.14",0.909090909090909
"OTU_97.24475","OTU_97.14",0.909090909090909
"OTU_97.24870","OTU_97.14",0.909090909090909
"OTU_97.25475","OTU_97.14",0.909090909090909
"OTU_97.29803","OTU_97.14",0.909090909090909
"OTU_97.34925","OTU_97.14",0.909090909090909
"OTU_97.35176","OTU_97.14",0.909090909090909
"OTU_97.35852","OTU_97.14",0.909090909090909
"OTU_97.38720","OTU_97.14",0.909090909090909
"OTU_97.38931","OTU_97.14",0.909090909090909
"OTU_97.39171","OTU_97.14",0.909090909090909
"OTU_97.39459","OTU_97.14",0.909090909090909
"OTU_97.734","OTU_97.14",0.909090909090909
"OTU_97.28399","OTU_97.10938",0.909090909090909
"OTU_97.24927","OTU_97.10938",0.909090909090909
"OTU_97.2297","OTU_97.10938",0.909090909090909
"OTU_97.7287","OTU_97.10938",0.909090909090909
"OTU_97.34683","OTU_97.10938",0.909090909090909
"OTU_97.24636","OTU_97.10938",0.909090909090909
"OTU_97.14746","OTU_97.10938",0.909090909090909
"OTU_97.25475","OTU_97.10938",0.909090909090909
"OTU_97.29803","OTU_97.10938",0.909090909090909
"OTU_97.34925","OTU_97.10938",0.909090909090909
"OTU_97.35176","OTU_97.10938",0.909090909090909
"OTU_97.38931","OTU_97.10938",0.909090909090909
"OTU_97.39171","OTU_97.10938",0.909090909090909
"OTU_97.14","OTU_97.10938",0.909090909090909
"OTU_97.2297","OTU_97.20215",0.909090909090909
"OTU_97.34683","OTU_97.20215",0.909090909090909
"OTU_97.25475","OTU_97.20215",0.909090909090909
"OTU_97.29803","OTU_97.20215",0.909090909090909
"OTU_97.35176","OTU_97.20215",0.909090909090909
"OTU_97.38931","OTU_97.20215",0.909090909090909
"OTU_97.39171","OTU_97.20215",0.909090909090909
"OTU_97.14","OTU_97.20215",0.909090909090909
"OTU_97.28399","OTU_97.1201",0.909090909090909
"OTU_97.24927","OTU_97.1201",0.909090909090909
"OTU_97.2297","OTU_97.1201",0.909090909090909
"OTU_97.34683","OTU_97.1201",0.909090909090909
"OTU_97.24636","OTU_97.1201",0.909090909090909
"OTU_97.25475","OTU_97.1201",0.909090909090909
"OTU_97.29803","OTU_97.1201",0.909090909090909
"OTU_97.34925","OTU_97.1201",0.909090909090909
"OTU_97.35176","OTU_97.1201",0.909090909090909
"OTU_97.38931","OTU_97.1201",0.909090909090909
"OTU_97.39171","OTU_97.1201",0.909090909090909
"OTU_97.16695","OTU_97.5474",0.909090909090909
"OTU_97.28399","OTU_97.5474",0.909090909090909
"OTU_97.24927","OTU_97.5474",0.909090909090909
"OTU_97.2297","OTU_97.5474",0.909090909090909
"OTU_97.7287","OTU_97.5474",0.909090909090909
"OTU_97.34683","OTU_97.5474",0.909090909090909
"OTU_97.24636","OTU_97.5474",0.909090909090909
"OTU_97.24475","OTU_97.5474",0.909090909090909
"OTU_97.25475","OTU_97.5474",0.909090909090909
"OTU_97.29803","OTU_97.5474",0.909090909090909
"OTU_97.34925","OTU_97.5474",0.909090909090909
"OTU_97.35176","OTU_97.5474",0.909090909090909
"OTU_97.38931","OTU_97.5474",0.909090909090909
"OTU_97.39171","OTU_97.5474",0.909090909090909
"OTU_97.39459","OTU_97.5474",0.909090909090909
"OTU_97.10938","OTU_97.5474",0.909090909090909
"OTU_97.34683","OTU_97.30402",0.909090909090909
"OTU_97.25475","OTU_97.30402",0.909090909090909
"OTU_97.29803","OTU_97.30402",0.909090909090909
"OTU_97.35176","OTU_97.30402",0.909090909090909
"OTU_97.38931","OTU_97.30402",0.909090909090909
"OTU_97.28399","OTU_97.37368",0.909090909090909
"OTU_97.24927","OTU_97.37368",0.909090909090909
"OTU_97.2297","OTU_97.37368",0.909090909090909
"OTU_97.34683","OTU_97.37368",0.909090909090909
"OTU_97.24475","OTU_97.37368",0.909090909090909
"OTU_97.25475","OTU_97.37368",0.909090909090909
"OTU_97.29803","OTU_97.37368",0.909090909090909
"OTU_97.34925","OTU_97.37368",0.909090909090909
"OTU_97.35176","OTU_97.37368",0.909090909090909
"OTU_97.38931","OTU_97.37368",0.909090909090909
"OTU_97.39171","OTU_97.37368",0.909090909090909
"OTU_97.14","OTU_97.37368",0.909090909090909
"OTU_97.34683","OTU_97.23136",0.909090909090909
"OTU_97.24636","OTU_97.23136",0.909090909090909
"OTU_97.24475","OTU_97.23136",0.909090909090909
"OTU_97.25475","OTU_97.23136",0.909090909090909
"OTU_97.29803","OTU_97.23136",0.909090909090909
"OTU_97.34925","OTU_97.23136",0.909090909090909
"OTU_97.35176","OTU_97.23136",0.909090909090909
"OTU_97.38931","OTU_97.23136",0.909090909090909
"OTU_97.39171","OTU_97.23136",0.909090909090909
"OTU_97.14","OTU_97.23136",0.909090909090909
"OTU_97.5474","OTU_97.23136",0.909090909090909
"OTU_97.34683","OTU_97.28270",0.909090909090909
"OTU_97.25475","OTU_97.28270",0.909090909090909
"OTU_97.34925","OTU_97.28270",0.909090909090909
"OTU_97.38931","OTU_97.28270",0.909090909090909
"OTU_97.39171","OTU_97.28270",0.909090909090909
"OTU_97.14","OTU_97.28270",0.909090909090909
"OTU_97.16695","OTU_97.510",0.909090909090909
"OTU_97.28399","OTU_97.510",0.909090909090909
"OTU_97.24927","OTU_97.510",0.909090909090909
"OTU_97.2297","OTU_97.510",0.909090909090909
"OTU_97.34683","OTU_97.510",0.909090909090909
"OTU_97.24636","OTU_97.510",0.909090909090909
"OTU_97.24475","OTU_97.510",0.909090909090909
"OTU_97.25475","OTU_97.510",0.909090909090909
"OTU_97.29803","OTU_97.510",0.909090909090909
"OTU_97.34925","OTU_97.510",0.909090909090909
"OTU_97.35176","OTU_97.510",0.909090909090909
"OTU_97.38931","OTU_97.510",0.909090909090909
"OTU_97.39171","OTU_97.510",0.909090909090909
"OTU_97.14","OTU_97.510",0.909090909090909
"OTU_97.28399","OTU_97.5894",0.909090909090909
"OTU_97.2297","OTU_97.5894",0.909090909090909
"OTU_97.34683","OTU_97.5894",0.909090909090909
"OTU_97.24636","OTU_97.5894",0.909090909090909
"OTU_97.14746","OTU_97.5894",0.909090909090909
"OTU_97.24475","OTU_97.5894",0.909090909090909
"OTU_97.25475","OTU_97.5894",0.909090909090909
"OTU_97.29803","OTU_97.5894",0.909090909090909
"OTU_97.34925","OTU_97.5894",0.909090909090909
"OTU_97.35176","OTU_97.5894",0.909090909090909
"OTU_97.38931","OTU_97.5894",0.909090909090909
"OTU_97.39171","OTU_97.5894",0.909090909090909
"OTU_97.14","OTU_97.5894",0.909090909090909
"OTU_97.10938","OTU_97.5894",0.909090909090909
"OTU_97.5474","OTU_97.5894",0.909090909090909
"OTU_97.25475","OTU_97.824",0.909090909090909
"OTU_97.38931","OTU_97.824",0.909090909090909
"OTU_97.28399","OTU_97.1693",0.909090909090909
"OTU_97.7657","OTU_97.1693",0.909090909090909
"OTU_97.2297","OTU_97.1693",0.909090909090909
"OTU_97.7287","OTU_97.1693",0.909090909090909
"OTU_97.34683","OTU_97.1693",0.909090909090909
"OTU_97.24636","OTU_97.1693",0.909090909090909
"OTU_97.37987","OTU_97.1693",0.909090909090909
"OTU_97.29561","OTU_97.1693",0.909090909090909
"OTU_97.24475","OTU_97.1693",0.909090909090909
"OTU_97.24870","OTU_97.1693",0.909090909090909
"OTU_97.25475","OTU_97.1693",0.909090909090909
"OTU_97.29803","OTU_97.1693",0.909090909090909
"OTU_97.34925","OTU_97.1693",0.909090909090909
"OTU_97.35176","OTU_97.1693",0.909090909090909
"OTU_97.35852","OTU_97.1693",0.909090909090909
"OTU_97.38931","OTU_97.1693",0.909090909090909
"OTU_97.39171","OTU_97.1693",0.909090909090909
"OTU_97.39459","OTU_97.1693",0.909090909090909
"OTU_97.734","OTU_97.1693",0.909090909090909
"OTU_97.14","OTU_97.1693",0.909090909090909
"OTU_97.10938","OTU_97.1693",0.909090909090909
"OTU_97.1201","OTU_97.1693",0.909090909090909
"OTU_97.5474","OTU_97.1693",0.909090909090909
"OTU_97.37368","OTU_97.1693",0.909090909090909
"OTU_97.23136","OTU_97.1693",0.909090909090909
"OTU_97.510","OTU_97.1693",0.909090909090909
"OTU_97.5894","OTU_97.1693",0.909090909090909
"OTU_97.2297","OTU_97.30088",0.909090909090909
"OTU_97.34683","OTU_97.30088",0.909090909090909
"OTU_97.24475","OTU_97.30088",0.909090909090909
"OTU_97.25475","OTU_97.30088",0.909090909090909
"OTU_97.29803","OTU_97.30088",0.909090909090909
"OTU_97.34925","OTU_97.30088",0.909090909090909
"OTU_97.35176","OTU_97.30088",0.909090909090909
"OTU_97.38931","OTU_97.30088",0.909090909090909
"OTU_97.39171","OTU_97.30088",0.909090909090909
"OTU_97.14","OTU_97.30088",0.909090909090909
"OTU_97.1693","OTU_97.30088",0.909090909090909
"OTU_97.28399","OTU_97.29317",0.909090909090909
"OTU_97.2297","OTU_97.29317",0.909090909090909
"OTU_97.34683","OTU_97.29317",0.909090909090909
"OTU_97.24475","OTU_97.29317",0.909090909090909
"OTU_97.25475","OTU_97.29317",0.909090909090909
"OTU_97.29803","OTU_97.29317",0.909090909090909
"OTU_97.34925","OTU_97.29317",0.909090909090909
"OTU_97.35176","OTU_97.29317",0.909090909090909
"OTU_97.38931","OTU_97.29317",0.909090909090909
"OTU_97.39171","OTU_97.29317",0.909090909090909
"OTU_97.14","OTU_97.29317",0.909090909090909
"OTU_97.1693","OTU_97.29317",0.909090909090909
"OTU_97.28399","OTU_97.28280",0.909090909090909
"OTU_97.7657","OTU_97.28280",0.909090909090909
"OTU_97.2297","OTU_97.28280",0.909090909090909
"OTU_97.7287","OTU_97.28280",0.909090909090909
"OTU_97.34683","OTU_97.28280",0.909090909090909
"OTU_97.24636","OTU_97.28280",0.909090909090909
"OTU_97.24475","OTU_97.28280",0.909090909090909
"OTU_97.25475","OTU_97.28280",0.909090909090909
"OTU_97.29803","OTU_97.28280",0.909090909090909
"OTU_97.34925","OTU_97.28280",0.909090909090909
"OTU_97.35176","OTU_97.28280",0.909090909090909
"OTU_97.38931","OTU_97.28280",0.909090909090909
"OTU_97.39171","OTU_97.28280",0.909090909090909
"OTU_97.39459","OTU_97.28280",0.909090909090909
"OTU_97.14","OTU_97.28280",0.909090909090909
"OTU_97.10938","OTU_97.28280",0.909090909090909
"OTU_97.5474","OTU_97.28280",0.909090909090909
"OTU_97.510","OTU_97.28280",0.909090909090909
"OTU_97.5894","OTU_97.28280",0.909090909090909
"OTU_97.1693","OTU_97.28280",0.909090909090909
"OTU_97.28399","OTU_97.8409",0.909090909090909
"OTU_97.2297","OTU_97.8409",0.909090909090909
"OTU_97.34683","OTU_97.8409",0.909090909090909
"OTU_97.24636","OTU_97.8409",0.909090909090909
"OTU_97.24475","OTU_97.8409",0.909090909090909
"OTU_97.25475","OTU_97.8409",0.909090909090909
"OTU_97.29803","OTU_97.8409",0.909090909090909
"OTU_97.34925","OTU_97.8409",0.909090909090909
"OTU_97.35176","OTU_97.8409",0.909090909090909
"OTU_97.38931","OTU_97.8409",0.909090909090909
"OTU_97.39171","OTU_97.8409",0.909090909090909
"OTU_97.14","OTU_97.8409",0.909090909090909
"OTU_97.1693","OTU_97.8409",0.909090909090909
"OTU_97.28399","OTU_97.38818",0.909090909090909
"OTU_97.7657","OTU_97.38818",0.909090909090909
"OTU_97.2297","OTU_97.38818",0.909090909090909
"OTU_97.7287","OTU_97.38818",0.909090909090909
"OTU_97.34683","OTU_97.38818",0.909090909090909
"OTU_97.24636","OTU_97.38818",0.909090909090909
"OTU_97.24475","OTU_97.38818",0.909090909090909
"OTU_97.25475","OTU_97.38818",0.909090909090909
"OTU_97.29803","OTU_97.38818",0.909090909090909
"OTU_97.34925","OTU_97.38818",0.909090909090909
